capacity_output [kW],power_input [kW],condenser_water_temperature [DEG C],condenser_water_flow_rate [percent],evaporator_water_return_temperature [DEG C],evaporator_water_supply_temperature [DEG C],evaporator_water_flow_rate [percent]
9.84,6.086851775,33.82040816,0.928455557,16.18720645,7.778273451,0.955823183
9.84,6.095572624,34.11530612,1.068545999,13.73529191,8.081692153,0.870748714
9.84,6.10441928,34.41020408,1.02587743,13.52346544,8.571626757,0.904044881
9.84,6.113400855,34.70510204,0.909050667,13.25961272,8.509249116,0.958956883
9.84,6.122526457,35,0.990976216,13.43919157,8.466286339,0.961656758
10.64326531,5.842999824,20.55,1.028119261,13.97251974,7.982900042,0.921883743
10.64326531,5.855854256,20.84489796,0.938381369,14.29721196,8.310022201,0.983664176
10.64326531,5.868416202,21.13979592,0.978033542,13.92011357,8.654335977,1.028261991
10.64326531,5.880695041,21.43469388,0.928527881,14.83500748,8.294914451,0.953628452
10.64326531,5.892700148,21.72959184,0.945691511,12.65391565,8.040604871,0.970924111
10.64326531,5.904440903,22.0244898,1.00080246,13.42085915,8.154398595,0.833884975
10.64326531,5.915926681,22.31938776,0.969148584,12.45588946,8.06490803,0.94962099
10.64326531,5.92716686,22.61428571,0.980557567,15.09802676,8.879762548,0.988445939
10.64326531,5.938170817,22.90918367,1.010258097,15.38959661,8.146402583,1.043145131
10.64326531,5.948947929,23.20408163,1.044423378,15.04529404,8.456183774,0.938504781
10.64326531,5.959507573,23.49897959,0.974582405,15.43154542,8.415739558,0.957627487
10.64326531,5.969859128,23.79387755,0.975086335,14.22832763,8.098097206,1.0112262
10.64326531,5.980011969,24.08877551,0.942256935,15.11395381,8.277476919,0.902034987
10.64326531,5.989975474,24.38367347,1.024499501,14.84485293,8.348446632,1.061090342
10.64326531,5.99975902,24.67857143,1.004077691,14.12575787,8.229920279,1.040234835
10.64326531,6.009371985,24.97346939,1.027134037,13.74495066,7.79681266,1.032317596
10.64326531,6.018823745,25.26836735,1.064701732,13.37394421,8.566238692,0.956208641
10.64326531,6.028123678,25.56326531,0.973512618,14.63730227,8.036350849,0.975482549
10.64326531,6.037281161,25.85816327,0.949385091,12.44797769,8.152864869,0.939840097
10.64326531,6.046305571,26.15306122,0.992976101,11.46734459,8.186968765,0.926021874
10.64326531,6.055206285,26.44795918,0.999783083,14.12815851,8.818168419,0.861111379
10.64326531,6.063992681,26.74285714,0.971346669,13.57663776,8.376374269,0.979575937
10.64326531,6.072674135,27.0377551,0.93594926,14.34942308,8.459475908,1.01838909
10.64326531,6.081260025,27.33265306,0.887263782,14.16143946,8.455178665,0.990584742
10.64326531,6.089759729,27.62755102,0.968734252,13.08911425,8.986916394,0.989254991
10.64326531,6.098182622,27.92244898,0.971330469,14.37373381,8.130626935,0.968110076
10.64326531,6.106538083,28.21734694,1.004661238,13.65423943,8.086403796,0.941374611
10.64326531,6.114835489,28.5122449,1.058067956,14.6301447,8.473375731,0.99011117
10.64326531,6.123084216,28.80714286,0.901189697,16.01922072,8.829875207,0.926387954
10.64326531,6.131293643,29.10204082,1.008529496,14.50260774,7.981488296,0.956422886
10.64326531,6.139473145,29.39693878,0.927596421,15.1961918,8.083861199,0.972813878
10.64326531,6.147632101,29.69183673,1.017470333,12.68027459,8.433059281,0.892960535
10.64326531,6.155779888,29.98673469,0.935006485,15.09044891,7.688410576,0.942437406
10.64326531,6.163925882,30.28163265,0.956706914,13.01753563,8.646339855,0.976195736
10.64326531,6.172079461,30.57653061,0.978383295,12.75531864,8.291041461,1.000505937
10.64326531,6.180250002,30.87142857,0.966173894,14.3419651,8.104449393,0.9501221
10.64326531,6.188446883,31.16632653,0.943793636,15.30156493,8.852952363,0.969958778
10.64326531,6.19667948,31.46122449,0.991188593,13.98145921,8.218150919,0.949295237
10.64326531,6.204957171,31.75612245,0.968966994,14.47000743,8.131357856,1.00944821
10.64326531,6.213289332,32.05102041,1.098947941,15.22953756,8.648062799,1.059197976
10.64326531,6.221685342,32.34591837,0.894805629,13.60157239,8.83762412,0.964581926
10.64326531,6.230154576,32.64081633,0.984041593,16.0604285,8.273315024,0.970918082
10.64326531,6.238706414,32.93571429,1.075092713,16.16583269,8.779538852,1.009244356
10.64326531,6.24735023,33.23061224,1.00859789,15.68477794,8.501241751,0.893341441
10.64326531,6.256095404,33.5255102,0.89124474,15.09195197,8.622022312,0.97713355
10.64326531,6.264951311,33.82040816,0.984604589,12.8197248,8.689573574,0.949429082
10.64326531,6.27392733,34.11530612,0.971732569,15.74699282,8.447594948,1.072800559
10.64326531,6.283032837,34.41020408,0.964022728,14.15334352,8.8792969,0.990799474
10.64326531,6.29227721,34.70510204,1.002483489,13.56894165,9.035602568,0.969084634
10.64326531,6.301669825,35,1.015897107,13.66280213,8.194916265,0.962856032
11.44653061,5.985725459,20.55,0.915857173,12.23600151,8.244089367,0.90529125
11.44653061,5.998893882,20.84489796,0.936433276,14.04659046,8.504147772,0.898434128
11.44653061,6.011762677,21.13979592,0.95622266,14.53708094,7.970400896,1.033061998
11.44653061,6.024341448,21.43469388,1.012445732,13.26166335,8.028387605,1.01874698
11.44653061,6.036639801,21.72959184,0.97140854,14.41826564,8.299411619,0.952243792
11.44653061,6.048667345,22.0244898,0.926302876,14.54729733,8.417344633,0.896145108
11.44653061,6.060433683,22.31938776,0.93521555,13.9174516,8.332073495,1.001214204
11.44653061,6.071948423,22.61428571,0.936523007,12.54844186,8.216954443,0.962193514
11.44653061,6.083221171,22.90918367,1.019550634,14.59831092,8.687309586,0.933101357
11.44653061,6.094261534,23.20408163,1.048417597,15.11963528,7.86100102,0.919942918
11.44653061,6.105079116,23.49897959,0.996901125,14.24494296,8.277847793,1.025961231
11.44653061,6.115683526,23.79387755,0.956916094,14.54105797,8.108988984,1.025726193
11.44653061,6.126084368,24.08877551,0.929219191,13.67032845,8.771081107,0.974556639
11.44653061,6.136291249,24.38367347,1.030845674,15.70937622,8.098936667,0.994767557
11.44653061,6.146313776,24.67857143,0.941164941,12.83382033,8.528191135,0.954198382
11.44653061,6.156161554,24.97346939,0.993277305,14.96333188,8.064053113,0.933576809
11.44653061,6.165844191,25.26836735,0.943218247,13.5465038,8.396936887,0.954700545
11.44653061,6.175371291,25.56326531,0.98074155,12.87067554,8.306017411,1.018812421
11.44653061,6.184752461,25.85816327,0.943463257,15.23122852,8.397143148,0.95552746
11.44653061,6.193997309,26.15306122,1.038169822,12.76670697,8.090110972,1.021170269
11.44653061,6.203115439,26.44795918,0.927286379,11.86856335,8.493984407,0.936794722
11.44653061,6.212116458,26.74285714,1.022515962,15.38595856,8.01722813,0.931811442
11.44653061,6.221009972,27.0377551,0.986160242,15.99610391,8.310515085,0.947835931
11.44653061,6.229805588,27.33265306,0.934361351,13.78296461,8.695131628,0.969583452
11.44653061,6.238512912,27.62755102,1.005503945,13.08262647,8.433025487,0.982720281
11.44653061,6.247141549,27.92244898,0.981810476,14.10039441,8.413744542,1.066024001
11.44653061,6.255701107,28.21734694,0.97335297,14.33098429,8.045423898,0.960541812
11.44653061,6.264201192,28.5122449,0.914606628,14.32721297,8.092246646,0.980579233
11.44653061,6.272651409,28.80714286,1.077232887,14.37444352,8.437886866,0.826568947
11.44653061,6.281061365,29.10204082,0.995471088,15.85871847,7.836195193,0.899078474
11.44653061,6.289440667,29.39693878,0.948464469,14.71667325,8.373118412,0.998591207
11.44653061,6.29779892,29.69183673,0.886905048,13.82845414,8.721518199,0.990210427
11.44653061,6.30614573,29.98673469,1.030675846,14.46340701,8.177154958,0.939890254
11.44653061,6.314490705,30.28163265,0.936859965,11.6169866,7.835660095,0.890052279
11.44653061,6.32284345,30.57653061,1.019354372,15.21088894,7.79017994,0.986760184
11.44653061,6.331213571,30.87142857,0.8580956,12.943489,8.368794249,0.989821499
11.44653061,6.339610675,31.16632653,0.958648592,14.84074348,8.400300835,1.001272621
11.44653061,6.348044367,31.46122449,0.970972256,14.55916324,8.609549004,0.882086882
11.44653061,6.356524255,31.75612245,0.943509679,13.6501481,8.326836029,1.008932621
11.44653061,6.365059945,32.05102041,1.02245624,13.08351294,8.043034878,1.119203477
11.44653061,6.373661042,32.34591837,0.950219795,13.64136497,8.036870272,1.022700122
11.44653061,6.382337152,32.64081633,0.924489279,13.78525309,8.457409051,0.978277017
11.44653061,6.391097883,32.93571429,0.915838041,15.6925829,8.589297333,0.996291134
11.44653061,6.399952841,33.23061224,0.959678348,14.56525943,8.622605705,0.983035351
11.44653061,6.408911631,33.5255102,0.990252363,14.0524193,8.525428111,0.934323827
11.44653061,6.417983859,33.82040816,0.931277834,14.53084254,8.131836695,0.963774655
11.44653061,6.427179133,34.11530612,1.021732859,15.66321744,8.203449193,1.023121311
11.44653061,6.436507058,34.41020408,1.051920762,16.32005912,8.656474764,0.965208663
11.44653061,6.445977241,34.70510204,0.949093484,13.32334858,8.277235155,0.932738199
11.44653061,6.455599288,35,0.962441081,12.19116184,8.297329368,0.896650097
12.24979592,6.107297122,20.55,1.009087864,14.81945273,8.518235556,0.930714486
12.24979592,6.120733,20.84489796,0.927742299,13.87615096,8.368267667,1.001959283
12.24979592,6.133863162,21.13979592,1.032464715,14.97267349,8.171410077,0.952953587
12.24979592,6.146697411,21.43469388,1.049458587,13.26764019,7.888266505,0.931944716
12.24979592,6.159245548,21.72959184,0.88639531,16.11524144,8.151360051,0.950244969
12.24979592,6.171517374,22.0244898,0.909707242,14.9861274,8.398394008,0.933632897
12.24979592,6.18352269,22.31938776,1.032080949,13.35488181,8.56384254,0.9329329
12.24979592,6.195271297,22.61428571,0.958284278,14.68844785,8.064513607,1.017105465
12.24979592,6.206772998,22.90918367,0.941150205,15.07588509,8.063115505,0.997024067
12.24979592,6.218037593,23.20408163,0.963023371,13.41478446,8.725097314,0.965372215
12.24979592,6.229074884,23.49897959,0.997941984,15.69816581,8.396078138,1.018535978
12.24979592,6.239894671,23.79387755,0.964670995,14.53391771,8.227454229,0.958669918
12.24979592,6.250506757,24.08877551,0.974258151,13.40874064,8.459892445,0.966292892
12.24979592,6.260920943,24.38367347,0.973459538,14.63652922,8.12506954,0.928640941
12.24979592,6.27114703,24.67857143,1.012982479,13.9934009,8.309294933,0.955722069
12.24979592,6.281194819,24.97346939,1.038191069,12.69747988,8.572955008,0.928918431
12.24979592,6.291074112,25.26836735,1.040965265,14.3870254,8.805641977,1.073606929
12.24979592,6.300794711,25.56326531,0.926974661,13.359742,8.383077598,1.02761343
12.24979592,6.310366415,25.85816327,0.985919399,13.05759626,8.062316864,0.990814492
12.24979592,6.319799028,26.15306122,0.906567861,12.96083237,8.355799131,0.928423349
12.24979592,6.329102349,26.44795918,0.966885816,14.60456639,8.483913316,1.048025658
12.24979592,6.338286182,26.74285714,0.884531846,14.15448347,8.475613781,1.043527195
12.24979592,6.347360326,27.0377551,1.022051718,13.9109291,7.886331926,0.922919346
12.24979592,6.356334583,27.33265306,1.011525584,13.34874967,8.235788551,1.018429187
12.24979592,6.365218755,27.62755102,0.996812696,12.80921662,8.227587708,1.004850316
12.24979592,6.374022642,27.92244898,1.029790769,12.51423642,8.315575534,1.001725788
12.24979592,6.382756047,28.21734694,0.881560568,14.68817945,8.101886535,0.851313308
12.24979592,6.39142877,28.5122449,0.923633838,11.32530939,8.346307314,0.981236672
12.24979592,6.400050614,28.80714286,0.97061491,13.67494985,8.493081922,0.986209827
12.24979592,6.408631378,29.10204082,0.901035955,14.45465604,8.619506966,0.941964794
12.24979592,6.417180866,29.39693878,1.001425947,13.94824719,8.16666923,1.087956175
12.24979592,6.425708877,29.69183673,1.02529243,13.66878472,8.317728547,0.975070188
12.24979592,6.434225213,29.98673469,1.022942858,13.40279667,8.73351801,0.979928004
12.24979592,6.442739677,30.28163265,1.002991477,11.77293784,8.014409498,0.920995687
12.24979592,6.451262068,30.57653061,1.065301394,15.09801424,8.399375506,0.935346452
12.24979592,6.459802188,30.87142857,0.994785319,12.98730393,7.68646834,0.937748893
12.24979592,6.46836984,31.16632653,1.027640115,14.57488671,8.511278134,0.929113494
12.24979592,6.476974823,31.46122449,0.920215794,14.47504283,8.464932766,0.991259388
12.24979592,6.48562694,31.75612245,1.056668408,14.09882313,8.124883278,0.951154213
12.24979592,6.494335991,32.05102041,0.944294855,12.29877385,8.414791866,1.007781909
12.24979592,6.503111779,32.34591837,0.905086792,13.118807,8.696715881,0.929589388
12.24979592,6.511964104,32.64081633,0.989363628,12.88796501,8.780814441,0.956284686
12.24979592,6.520902767,32.93571429,0.8854963,13.41924449,8.642219555,0.936971467
12.24979592,6.529937571,33.23061224,0.999605944,13.16354193,8.643683388,0.976717413
12.24979592,6.539078316,33.5255102,0.881329091,12.91876559,8.455802847,0.816515723
12.24979592,6.548334805,33.82040816,0.952088252,12.48979869,7.606161493,0.953165604
12.24979592,6.557716837,34.11530612,0.918543765,14.28501573,8.666509631,1.031095702
12.24979592,6.567234215,34.41020408,1.067656547,12.3103048,8.627826051,0.923271565
12.24979592,6.576896739,34.70510204,1.002073526,11.88291904,7.975103375,1.00318044
12.24979592,6.586714212,35,0.941287971,13.64729766,8.610632678,0.941189495
13.05306122,6.20993954,20.55,0.992199722,14.27820903,8.177860158,0.964088334
13.05306122,6.223601229,20.84489796,0.99755705,14.0364274,8.501276319,0.949931294
13.05306122,6.236952064,21.13979592,1.016808907,14.21599773,8.887422485,0.947090013
13.05306122,6.250002012,21.43469388,0.974392648,14.6368059,8.018474894,1.004687958
13.05306122,6.262761039,21.72959184,0.973691861,12.89446457,8.524405503,0.982233189
13.05306122,6.275239111,22.0244898,0.964921813,14.83662099,8.46037839,1.018120631
13.05306122,6.287446195,22.31938776,1.014848367,13.17379785,8.37322832,0.925842344
13.05306122,6.299392256,22.61428571,1.041012395,15.14666758,8.277557432,0.903218445
13.05306122,6.31108726,22.90918367,0.972226044,13.11025702,8.454808534,0.994596543
13.05306122,6.322541174,23.20408163,0.993136204,12.85893987,8.779546571,0.994575384
13.05306122,6.333763963,23.49897959,0.972040961,14.41672222,8.447063581,0.924056845
13.05306122,6.344765593,23.79387755,1.008880834,14.93104354,8.802966576,0.921291325
13.05306122,6.355556032,24.08877551,0.892795339,13.85129525,8.038044148,0.948179176
13.05306122,6.366145244,24.38367347,0.988108827,12.92140047,7.79047257,0.938754011
13.05306122,6.376543196,24.67857143,0.978948593,13.6178327,7.963763139,0.996721616
13.05306122,6.386759853,24.97346939,0.896209239,14.59916095,8.245400546,0.991635546
13.05306122,6.396805183,25.26836735,1.045043505,14.90336727,8.57804448,1.031725299
13.05306122,6.406689151,25.56326531,0.989094899,13.88227298,8.094781624,0.963446578
13.05306122,6.416421722,25.85816327,0.979556642,15.64166983,7.737680311,1.011449614
13.05306122,6.426012864,26.15306122,0.95052128,14.50078619,8.701242156,0.95005627
13.05306122,6.435472542,26.44795918,1.066238446,13.49825617,8.673685652,0.93253514
13.05306122,6.444810723,26.74285714,1.006738067,14.37607036,8.575627284,1.009774435
13.05306122,6.454037372,27.0377551,0.972566482,15.19312419,8.335097773,0.990085462
13.05306122,6.463162455,27.33265306,0.906382607,13.13528617,8.412137593,0.961186531
13.05306122,6.472195938,27.62755102,0.98754815,13.96571321,8.947333732,0.925622402
13.05306122,6.481147789,27.92244898,0.922232257,15.34552726,8.111390251,0.920382052
13.05306122,6.490027972,28.21734694,0.966516028,13.02270833,8.7914041,0.921565133
13.05306122,6.498846454,28.5122449,0.964317801,12.76775488,8.264038294,0.911409643
13.05306122,6.5076132,28.80714286,1.026083267,15.25845274,8.116493264,1.033688912
13.05306122,6.516338178,29.10204082,0.906699812,13.9595764,8.076312199,0.944215049
13.05306122,6.525031352,29.39693878,0.914256658,13.7751315,7.992984683,0.970007622
13.05306122,6.533702689,29.69183673,1.057559209,14.10585251,8.141850511,0.973050354
13.05306122,6.542362156,29.98673469,0.999658087,16.37837542,8.661512221,1.008583334
13.05306122,6.551019718,30.28163265,0.961895712,12.27478813,8.121078831,0.99982954
13.05306122,6.559685341,30.57653061,0.882049466,13.80611669,8.511659383,1.037286163
13.05306122,6.568368991,30.87142857,1.019198393,12.83520842,8.561382526,0.937974115
13.05306122,6.577080635,31.16632653,0.987412273,14.20566828,8.059807758,0.934892136
13.05306122,6.585830238,31.46122449,0.940652789,14.59367276,8.163975909,1.028152096
13.05306122,6.594627766,31.75612245,0.96347071,13.65594178,7.933826452,1.064474297
13.05306122,6.603483187,32.05102041,1.042031614,13.8343514,8.318919266,1.017862862
13.05306122,6.612406465,32.34591837,0.95596221,13.50374546,7.686068004,1.03231366
13.05306122,6.621407566,32.64081633,0.957165996,14.19150303,8.245104812,0.958708712
13.05306122,6.630496458,32.93571429,0.881620162,14.00054404,8.639503839,0.998937947
13.05306122,6.639683105,33.23061224,0.882914883,16.26869935,8.384338769,0.95153193
13.05306122,6.648977475,33.5255102,0.972195141,13.76387595,8.133558831,0.988084529
13.05306122,6.658389532,33.82040816,0.898503011,14.66184272,9.082202879,1.007255808
13.05306122,6.667929244,34.11530612,1.001855099,15.01399651,8.65954886,0.905012744
13.05306122,6.677606576,34.41020408,0.984968785,13.32892318,8.366687315,0.917353224
13.05306122,6.687431494,34.70510204,0.989190446,12.90630011,8.375968858,0.87824206
13.05306122,6.697413964,35,0.949430351,12.50577746,8.19297175,1.002571908
13.85632653,6.295877442,20.55,0.966010325,13.97580793,8.659581573,0.931853963
13.85632653,6.309728191,20.84489796,0.98739146,15.35198033,8.217769319,0.905954122
13.85632653,6.323263785,21.13979592,0.957814384,15.89119335,8.337518039,0.898433582
13.85632653,6.336494328,21.43469388,1.02484474,14.1743406,8.35702815,0.981913579
13.85632653,6.349429925,21.72959184,0.9776492,13.41783736,7.858092125,0.869153822
13.85632653,6.362080678,22.0244898,0.983763192,12.71885741,7.878935455,1.03413619
13.85632653,6.374456693,22.31938776,0.935422272,14.16309611,8.677447384,0.984276399
13.85632653,6.386568072,22.61428571,1.021412787,15.67874989,8.125110666,0.984902421
13.85632653,6.398424921,22.90918367,1.003789585,15.33254925,8.747116059,0.937507476
13.85632653,6.410037343,23.20408163,0.979870783,14.51364956,8.387819389,0.954808257
13.85632653,6.421415441,23.49897959,0.956517793,13.69492554,8.450250393,0.968289979
13.85632653,6.432569321,23.79387755,0.953762808,13.95605937,8.297376543,0.91190126
13.85632653,6.443509086,24.08877551,0.986570187,14.16043714,8.510473375,1.045099349
13.85632653,6.454244839,24.38367347,0.930012926,14.21214959,8.222035251,0.958647158
13.85632653,6.464786686,24.67857143,1.07312141,14.72227938,8.15588255,0.97472862
13.85632653,6.47514473,24.97346939,0.924674663,13.74477089,8.804994631,1.009305199
13.85632653,6.485329074,25.26836735,0.98303171,14.96055404,8.537855465,0.998504853
13.85632653,6.495349824,25.56326531,0.967147229,16.39733061,8.331061969,0.96207975
13.85632653,6.505217082,25.85816327,1.008308554,12.99453161,8.501610984,1.004541713
13.85632653,6.514940954,26.15306122,0.987305936,13.75258922,8.85296204,0.98798902
13.85632653,6.524531542,26.44795918,0.959060368,12.73837942,8.553206421,0.947781523
13.85632653,6.533998951,26.74285714,0.946983653,13.67300237,8.264854268,0.990062302
13.85632653,6.543353286,27.0377551,0.91588419,15.60575817,8.154232623,0.97360414
13.85632653,6.552604649,27.33265306,0.961922643,13.77996621,8.417378908,0.953947588
13.85632653,6.561763145,27.62755102,0.962549191,14.81698441,8.402653692,0.885046257
13.85632653,6.570838878,27.92244898,1.028590579,15.4911114,8.037957677,0.995015148
13.85632653,6.579841952,28.21734694,1.005005733,14.53502384,7.918049458,0.943996466
13.85632653,6.58878247,28.5122449,0.943851145,13.93190275,8.080881743,0.879499663
13.85632653,6.597670538,28.80714286,0.916306208,13.90109047,7.99261645,0.924977897
13.85632653,6.606516258,29.10204082,0.89268064,13.90006985,8.765362366,0.955704619
13.85632653,6.615329735,29.39693878,0.96981207,14.62999344,7.876550385,1.002761617
13.85632653,6.624121073,29.69183673,1.000508559,12.8092567,8.440682903,0.951896918
13.85632653,6.632900376,29.98673469,0.990455425,12.08808947,8.096785974,0.952288755
13.85632653,6.641677748,30.28163265,0.987143086,11.66981263,8.460017285,1.074659631
13.85632653,6.650463292,30.57653061,1.020987827,15.07414987,8.424233475,0.944220759
13.85632653,6.659267114,30.87142857,1.058003825,14.73614405,8.563768535,0.938247301
13.85632653,6.668099316,31.16632653,0.962497766,16.16807687,8.280960842,1.007438706
13.85632653,6.676970003,31.46122449,0.920599403,13.23997123,8.161671103,0.986514751
13.85632653,6.685889278,31.75612245,0.918045267,13.75540248,8.086205323,1.016939914
13.85632653,6.694867247,32.05102041,0.900275176,15.10933716,8.752171125,0.960786693
13.85632653,6.703914012,32.34591837,1.023079495,14.6118396,8.574136982,0.889595907
13.85632653,6.713039678,32.64081633,0.908279142,13.17691538,7.989095338,0.866430904
13.85632653,6.722254348,32.93571429,1.03345219,12.87471942,8.595766496,0.979957969
13.85632653,6.731568127,33.23061224,1.017054417,14.59577515,8.785012936,0.939388268
13.85632653,6.74099112,33.5255102,0.977314307,15.42365866,7.845835357,0.981621962
13.85632653,6.750533428,33.82040816,0.961174263,14.28920274,7.853113142,0.935640632
13.85632653,6.760205158,34.11530612,0.927908763,15.31347595,8.656884413,1.053591862
13.85632653,6.770016412,34.41020408,0.991275891,13.86087567,8.52160773,0.957171374
13.85632653,6.779977295,34.70510204,1.003558433,14.27667184,8.021791896,0.927464712
13.85632653,6.79009791,35,0.918372468,14.027212,8.437341798,1.03446522
14.65959184,6.367335553,20.55,1.051122053,14.74502453,7.883685996,0.98528406
14.65959184,6.381343508,20.84489796,1.066954918,13.82463847,8.104768418,0.973790515
14.65959184,6.395032731,21.13979592,0.936707173,13.52098587,7.959079732,0.98776669
14.65959184,6.408413441,21.43469388,0.934829812,15.07931146,8.070608955,0.919177499
14.65959184,6.421495856,21.72959184,1.035182957,16.29388289,8.606733968,0.975442035
14.65959184,6.434290195,22.0244898,0.997003073,16.0710122,8.86284293,1.080224142
14.65959184,6.446806678,22.31938776,0.973825639,12.19747888,8.316350952,0.950238373
14.65959184,6.459055521,22.61428571,0.949413346,14.09399281,8.726557535,0.927835342
14.65959184,6.471046945,22.90918367,0.931758185,14.67500813,8.550238865,1.06006139
14.65959184,6.482791167,23.20408163,1.045134036,13.66956599,8.89595588,0.998201458
14.65959184,6.494298407,23.49897959,1.016502665,14.49218392,8.082462362,1.02881655
14.65959184,6.505578883,23.79387755,0.978921734,13.16050337,8.185813726,0.939987637
14.65959184,6.516642814,24.08877551,0.976968303,13.45184002,8.199007455,1.019190249
14.65959184,6.527500418,24.38367347,0.925602389,13.81987641,8.542858415,0.937494823
14.65959184,6.538161915,24.67857143,0.988651524,14.70968423,8.516940518,1.012543821
14.65959184,6.548637522,24.97346939,0.939039978,12.4324889,7.947982416,0.967015424
14.65959184,6.558937459,25.26836735,1.00922779,16.60668157,8.597855687,0.988340958
14.65959184,6.569071944,25.56326531,1.029807377,14.62081,8.479170222,0.89753117
14.65959184,6.579051195,25.85816327,1.031685321,14.63257448,8.544322502,0.984054135
14.65959184,6.588885433,26.15306122,0.984132291,14.10497009,8.184489444,0.934698464
14.65959184,6.598584874,26.44795918,0.898733309,14.48789026,8.447325672,0.970740553
14.65959184,6.608159738,26.74285714,1.0460839,16.15165736,8.375939299,1.015935516
14.65959184,6.617620244,27.0377551,1.020603185,14.27952607,8.749964323,1.016436785
14.65959184,6.62697661,27.33265306,1.037580361,12.80512507,8.786579551,0.961791225
14.65959184,6.636239055,27.62755102,0.924068844,14.49346336,7.494509895,1.007573917
14.65959184,6.645417797,27.92244898,0.918629312,14.52901682,8.487431282,0.954789067
14.65959184,6.654523056,28.21734694,0.941346937,15.39805685,8.468532422,0.923066708
14.65959184,6.663565049,28.5122449,1.051243122,13.34594237,8.545250301,1.025759085
14.65959184,6.672553996,28.80714286,1.039478125,13.53864668,7.757807703,0.989347645
14.65959184,6.681500115,29.10204082,1.023117857,13.72645539,7.999849038,1.072559404
14.65959184,6.690413625,29.39693878,0.929121671,15.53245439,8.126901097,0.987903485
14.65959184,6.699304745,29.69183673,0.919355111,14.45889363,8.779882993,1.064291745
